Administrative area,"Total
area (ha)","Tree cover
Extent
in 2000 (ha)","Tree cover
Extent
in 2010 (ha)","Carbon
biomass
(Mt)","Carbon
emissions
2001-18 (Mt)","Avg carbon
emissions/year
2001-18 (Mt)","Avg carbon
emissions/year
2001-10 (Mt)","Avg carbon
emissions/year
2011-18 (Mt)"
Abra,399527,268427,260337,114686689,1779454,98859,102716,94037
Agusan del Norte,300705,240383,244975,102420505,7069548,392753,269371,546980
Agusan del Sur,861285,779513,772606,352506719,46339512,2574417,1751952,3602499
Aklan,168294,116297,115858,45072861,1256634,69813,72507,66446
Albay,253809,171661,174727,65554223,3162926,175718,248133,85199
Antique,275654,153733,152807,60279991,1106890,61494,80349,37925
Apayao,392655,351910,346573,166542469,14349697,797205,633335,1002043
Aurora,305729,276328,273983,126659824,4190847,232825,269960,186406
Basilan,138647,125286,123651,51576987,3770141,209452,180467,245684
Bataan,132961,71089,74170,29733307,672870,37382,45283,27505
Batanes,21083,11677,11065,4567410,224858,12492,10792,14618
Batangas,325191,152621,154813,53490781,2131856,118436,145530,84570
Benguet,265290,195310,187511,84357155,1174339,65241,88444,36238
Biliran,53996,43962,44551,18758726,429719,23873,19193,29724
Bohol,401831,203702,205169,68254256,1768376,98243,105245,89491
Bukidnon,914019,496088,485659,195640462,8162654,453481,370827,556799
Bulacan,257678,124768,123467,53885192,1922422,106801,124966,84096
Cagayan,886260,527544,516252,225204915,14052592,780700,789878,769227
Camarines Norte,212911,171058,169588,65557457,2818014,156556,151383,163024
Camarines Sur,534665,350060,354497,133135053,4931659,273981,292564,250753
Camiguin,24702,21101,22326,8635309,82776,4599,5228,3813
Capiz,267226,107343,107228,37660876,2256662,125370,91450,167771
Catanduanes,148634,131340,131188,60310036,2024932,112496,141679,76017
Cavite,125831,49274,50733,16557287,495234,27513,31790,22167
Cebu,492648,213755,180453,67151382,3076752,170931,199036,135799
Compostela Valley,426375,363465,358911,156135727,15114099,839672,637381,1092537
Davao Oriental,514843,453412,452258,208860864,20068119,1114896,585311,1776876
Davao del Norte,350694,246214,252288,92442972,6816650,378703,287308,492946
Davao del Sur,607426,388223,373297,152364434,6002761,333487,311985,360364
Dinagat Islands,81913,61508,62405,27501450,1093264,60737,53874,69315
Eastern Samar,431187,400055,397878,172751384,10289628,571646,326012,878689
Guimaras,61203,23521,22536,7273144,344090,19116,16026,22978
Ifugao,251927,141994,132045,55923818,2123292,117961,122006,112904
Ilocos Norte,340116,185012,183447,81641168,974854,54159,60332,46442
Ilocos Sur,252706,137106,132202,58425230,588208,32678,36456,27956
Iloilo,475951,149949,145438,52471783,3297717,183207,156792,216225
Isabela,1033225,521322,519249,253312452,12796960,710942,721656,697550
Kalinga,290986,198502,197531,84558132,3309680,183871,144929,232549
La Union,147681,75503,68228,30550862,371128,20618,23499,17017
Laguna,272307,120512,117671,46602704,2757130,153174,205247,88083
Lanao del Norte,286124,215347,217710,85704356,3361220,186734,139778,245430
Lanao del Sur,390915,286944,279659,131051059,6325903,351439,296129,420576
Leyte,560271,410478,411523,166439328,15057131,836507,295206,1513134
Maguindanao,482587,209155,218386,70406169,4668439,259358,243345,279373
Marinduque,93750,72813,73701,26496234,850907,47273,54592,38123
Masbate,403825,154307,154577,51323846,2275786,126433,150617,96202
Metropolitan Manila,56829,3062,3628,946046,19830,1102,1542,551
Misamis Occidental,191116,140490,141967,53683168,1838960,102164,99524,105465
Misamis Oriental,335379,210879,214586,82725197,2241123,124507,99317,155994
Mountain Province,213946,159916,155434,68422737,2045972,113665,127365,96540
Negros Occidental,785786,220916,223509,77014284,2579784,143321,142423,144445
Negros Oriental,502697,198198,187778,68810407,2752637,152924,187548,109645
North Cotabato,638847,283143,274764,102025230,7516843,417602,318248,541795
Northern Samar,342434,300073,302089,123750769,5603185,311288,293139,333975
Nueva Ecija,550714,159195,164976,66962810,2198472,122137,131539,110385
Nueva Vizcaya,394259,259057,249823,103923014,4378561,243253,281299,195697
Occidental Mindoro,593902,340169,335185,130293914,6849922,380551,267780,521516
Oriental Mindoro,426498,287922,295173,102829441,7160603,397811,290777,531604
Palawan,1465070,1187197,1164782,499129499,54493224,3027401,2415706,3792021
Pampanga,227066,35528,45101,9921786,401220,22290,25449,18341
Pangasinan,523583,135120,126925,48032301,1064944,59164,70946,44436
Quezon,842092,703539,703636,280369897,16553112,919617,1085424,712359
Quirino,310882,233963,227962,101530515,6155925,341996,338088,346880
Rizal,127892,76545,77193,29431535,1444492,80250,83503,76183
Romblon,134104,101174,96885,43469266,2080179,115566,120699,109148
Samar,547897,468076,453655,196720528,12457429,692079,627798,772432
Sarangani,325810,212683,200941,85362569,4726264,262570,263346,261600
Siquijor,32490,14205,14307,4644177,77777,4321,4107,4588
Sorsogon,200969,155563,156568,61112002,1766947,98164,90283,108015
South Cotabato,436806,226307,223727,89556798,4804385,266910,248970,289336
Southern Leyte,169876,147570,146348,65896978,1658514,92140,118014,59796
Sultan Kudarat,446508,255146,251929,104191612,7478573,415476,374772,466356
Sulu,158739,128988,126912,48869958,1602004,89000,105411,68487
Surigao del Norte,212635,160818,161279,68012347,1808217,100457,70910,137390
Surigao del Sur,433945,391922,389328,177783409,16079213,893290,637398,1213154
Tarlac,303336,79571,84065,31741084,1724543,95808,63710,135931
Tawi-Tawi,120218,103571,100005,39752122,4798830,266602,219673,325263
Zambales,367725,177701,177982,75824245,2119913,117773,120018,114966
Zamboanga Sibugay,273641,187895,180381,66873616,7279789,404433,377516,438079
Zamboanga del Norte,642882,454389,448780,181629124,23010217,1278345,1031809,1586516
Zamboanga del Sur,533196,316180,315804,117383746,8074805,448600,449743,447172
